,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount,code,Latitude,Longitude
243,Arunachal Pradesh,2020,1,Financial Services,470,337812.948161694,AR,28.0937702,94.5921326
244,Arunachal Pradesh,2020,1,Others,2261,2943873.066683824,AR,28.0937702,94.5921326
245,Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134,AR,28.0937702,94.5921326
246,Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835,AR,28.0937702,94.5921326
247,Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61244752,AR,28.0937702,94.5921326
248,Arunachal Pradesh,2020,2,Financial Services,1310,2655507.6964110374,AR,28.0937702,94.5921326
249,Arunachal Pradesh,2020,2,Others,1939,1761404.4023099935,AR,28.0937702,94.5921326
250,Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397,AR,28.0937702,94.5921326
251,Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578,AR,28.0937702,94.5921326
252,Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69272713,AR,28.0937702,94.5921326
253,Arunachal Pradesh,2020,3,Financial Services,1761,4030599.9171272414,AR,28.0937702,94.5921326
254,Arunachal Pradesh,2020,3,Others,3005,2695539.3607389224,AR,28.0937702,94.5921326
255,Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625,AR,28.0937702,94.5921326
256,Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062,AR,28.0937702,94.5921326
257,Arunachal Pradesh,2020,4,Merchant payments,167387,156682926.02384603,AR,28.0937702,94.5921326
258,Arunachal Pradesh,2020,4,Financial Services,1749,2391651.8783250954,AR,28.0937702,94.5921326
259,Arunachal Pradesh,2020,4,Others,4079,4055324.315454754,AR,28.0937702,94.5921326
260,Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507,AR,28.0937702,94.5921326
261,Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836,AR,28.0937702,94.5921326
262,Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.0891498,AR,28.0937702,94.5921326
263,Arunachal Pradesh,2021,1,Financial Services,1558,2672460.4740365944,AR,28.0937702,94.5921326
264,Arunachal Pradesh,2021,1,Others,3074,3301662.609423133,AR,28.0937702,94.5921326
